round,family,symbol,seed,scenario,n_bars,total_return,sharpe,ann_volatility,max_drawdown,ci_low,ci_high,ci_excludes_zero,bh_total_return,beats_bh,positive
R3,BTC_ETH_confirmation,BTCUSDT,707014,taker_4_1,32385,-0.49816990969866703,-0.34383269976780706,0.35695765799401136,-0.7681031120118855,-0.015613394553862613,0.007457100703188577,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,707014,maker_2_1,32385,-0.387380048296309,-0.1927628791837833,0.35689907174620134,-0.7243290171976482,-0.013967722174772643,0.009031976426925116,False,0.5230520209126748,False,False
R3,BTC_ETH_confirmation,BTCUSDT,707014,no_fees,32385,-0.17376138129656604,0.03392884712189241,0.3568745266606828,-0.6427242836445093,-0.011544657507209021,0.011466692826996519,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,707014,gross,32385,-0.1290018830911448,0.07391316890316912,0.35687406232065305,-0.6205644751118249,-0.0112579076949856,0.011964473229303918,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,BTCUSDT,765570,taker_4_1,32385,-0.73816150552965,-0.7224084612739585,0.3941481073245226,-0.8604321231213605,-0.01908397913096367,0.002782928785802885,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,765570,maker_2_1,32385,-0.6666824177266382,-0.5570292332419382,0.39404105916233867,-0.8448086884202299,-0.01728380930334354,0.004734263390696086,False,0.5230520209126748,False,False
R3,BTC_ETH_confirmation,BTCUSDT,765570,no_fees,32385,-0.521330419880457,-0.30872006915753974,0.39397205814955766,-0.8181617942516802,-0.014679711506164695,0.007725774102066745,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,765570,gross,32385,-0.4935483513000981,-0.27002056640821404,0.3939517439332664,-0.8212077980944459,-0.014412972481074838,0.0081571551478528,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,BTCUSDT,891022,taker_4_1,32385,-0.7716330718404262,-0.79028062675402,0.40272543978503983,-0.8905884219739628,-0.020268594197917753,0.0016228927359181683,False,0.522747844787544,False,False
R3,BTC_ETH_confirmation,BTCUSDT,891022,maker_2_1,32385,-0.7136747209222845,-0.6386544023641907,0.40261854682769543,-0.8642097390617044,-0.018537631580755724,0.0032768109102470923,False,0.5230520209126748,False,False
